Channels,FraudVideoCount,Videos,TitleFlag,TagFlag,DescriptionFlag
https://www.youtube.com/UCZMFJ5xqrihVch2r-ujCDfA,50,https://www.youtube.com/watch?v=orpujQh9Czg,"{'pay': 1, 'per': 1}","{'pay': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=BF6S0H9a9rE,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=iCqeF7mcxnM,"{'pay': 1, 'advertis': 1, 'click': 1, 'per': 1}","{'pay': 1, 'advertis': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=tKhnd_rvBBE,"{'pay': 1, 'per': 1}","{'pay': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=nte_lpAKETI,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=Bbj8FUzIn7U,"{'pay': 1, 'click': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=wyFE4OtNDrg,"{'pay': 2, 'click': 2, 'per': 2}","{'pay': 2, 'click': 2, 'per': 2}",NoFlag
 , ,https://www.youtube.com/watch?v=MYQURCQ_UvE,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=_EGPPIJECUU,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=Fuv_4l2LBwI,{'click': 1},{'click': 1},NoFlag
 , ,https://www.youtube.com/watch?v=YZr87piByqU,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=G5eJVmKuU7A,"{'pay': 1, 'click': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=E8mKDQZQn20,"{'pay': 1, 'click': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=XgSmcUJx8oU,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=1XIid_peFzk,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=pd7YKiVOzYg,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=QnlOMk-iMRQ,"{'pay': 1, 'click': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=j27lINZxDpc,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=79zO_jqJUWs,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=elFQuJR_fkE,"{'pay': 1, 'click': 1, 'per': 1}","{'pay': 1, 'click': 1, 'per': 1}",NoFlag
 , ,https://www.youtube.com/watch?v=ETdOqMVYbdY,NoFlag,NoFlag,NoFlag
 , ,https://www.youtube.com/watch?v=gbkAJD4k-Is,"{'click': 1, 'per': 1}","{'click': 1, 'per': 1}",NoFlag
